ASSET_ID,BATCH_ID,PLANNED_RUN_ID,TITLE,VCU_ID,ASSET_TYPE,REPRESENTATION_TYPE,PRIMARY_AUDIENCE,ACADEMIC_DEPTH,PRIMARY_COMPANION,SECONDARY_COMPANIONS,CHARACTER_MODE,PROMPT_HASH_PROFILE,PROMPT_SHA256,RESOLUTION,ASPECT_RATIO,LOGO_REQUIRED,MOTTO_REQUIRED,CLEAN_MASTER_FILENAME,BRANDED_FINAL_FILENAME,STATUS
HKA-VIS-W01-0001,HKA-W01-B00,HKA-W01-B00-R01,"HKA World Tree — Bốn người đồng hành mở sáu cánh cửa tri thức",HKA-VCU-W01-001,HERO,CONCEPTUAL_MODEL,UNIVERSAL,MULTI_DEPTH,ENSEMBLE_FOUR,"SIGMA|CRICKET|LITTLE_ANT|PROFESSOR_OWL",GUIDE_LAYER,HKA-PROMPT-RECORD-JSON-V1,c5d839c819e5ed185a30033af26bdb5dd79d28c1db00269492ad7d6e9d5dbf38,3840x2160,16:9,YES,YES,HKA-VIS-W01-0001_CLEAN_MASTER.png,HKA-VIS-W01-0001_BRANDED_FINAL.png,PROMPT_READY
HKA-VIS-W01-0002,HKA-W01-B00,HKA-W01-B00-R01,"Một giọt mưa trên lá — bắt đầu từ câu hỏi",HKA-VCU-W01-001,CONCEPT,DOCUMENTARY_REALITY,A1_5_8,D1,SIGMA,NONE,OBSERVER_FRAME,HKA-PROMPT-RECORD-JSON-V1,a922ea27d31b9f50803a0ebb48adf59b9fab8ee9449c81c59739d0efd7e89793,3840x2160,16:9,YES,YES,HKA-VIS-W01-0002_CLEAN_MASTER.png,HKA-VIS-W01-0002_BRANDED_FINAL.png,PROMPT_READY
HKA-VIS-W01-0003,HKA-W01-B01,HKA-W01-B01-R01,"Quan sát rồi phân loại — lá đá và quả hạt",HKA-VCU-W01-002,PROCESS,DOCUMENTARY_REALITY,A1_5_8,D1,LITTLE_ANT,NONE,IN_SCENE_PARTICIPANT,HKA-PROMPT-RECORD-JSON-V1,0d1477cf80ed5ac70d6f08db0d7c97927d69f521635bfbaf52047a4fc9465a42,3840x2160,16:9,YES,YES,HKA-VIS-W01-0003_CLEAN_MASTER.png,HKA-VIS-W01-0003_BRANDED_FINAL.png,PROMPT_READY
HKA-VIS-W01-0004,HKA-W01-B01,HKA-W01-B01-R01,"Một bông hoa trong mạng sống — ánh sáng đất nước và ong",HKA-VCU-W01-003,CROSS_LINK,SCIENTIFIC_VISUALIZATION,A2_9_12,D2,CRICKET,NONE,GUIDE_LAYER,HKA-PROMPT-RECORD-JSON-V1,1d1d6822e4fed507f3c13485ab9227d7f0b440d23b6008b4b10d4fa7ab85fd5a,3840x2160,16:9,YES,YES,HKA-VIS-W01-0004_CLEAN_MASTER.png,HKA-VIS-W01-0004_BRANDED_FINAL.png,PROMPT_READY
HKA-VIS-W01-0005,HKA-W01-B01,HKA-W01-B01-R01,"Dấu vết và suy đoán — ta thật sự nhìn thấy gì",HKA-VCU-W01-003,COMPARISON,DOCUMENTARY_REALITY,A2_9_12,D2,PROFESSOR_OWL,NONE,OBSERVER_FRAME,HKA-PROMPT-RECORD-JSON-V1,e0f96836a6acfa5491e7bf3fc332c2dec10f34cb8bdac15d7a069685a8f5dff9,3840x2160,16:9,YES,YES,HKA-VIS-W01-0005_CLEAN_MASTER.png,HKA-VIS-W01-0005_BRANDED_FINAL.png,PROMPT_READY
HKA-VIS-W01-0006,HKA-W01-B01,HKA-W01-B01-R01,"Ba thang đo vi mô — sợi tóc hạt phấn và vi khuẩn",HKA-VCU-W01-004,SCALE,SCIENTIFIC_VISUALIZATION,A3_13_15,D3,PROFESSOR_OWL,NONE,GUIDE_LAYER,HKA-PROMPT-RECORD-JSON-V1,5241778158c37be1efee79a83f537927ea9664867430ce47c0846473366aaad3,3840x2160,16:9,YES,YES,HKA-VIS-W01-0006_CLEAN_MASTER.png,HKA-VIS-W01-0006_BRANDED_FINAL.png,PROMPT_READY
HKA-VIS-W01-0007,HKA-W01-B01,HKA-W01-B01-R01,"Từ dấu tích đến tái dựng — điều chắc chắn và điều còn thiếu",HKA-VCU-W01-005,RECONSTRUCTION,HISTORICAL_RECONSTRUCTION,A3_13_15,D3,CRICKET,NONE,GUIDE_LAYER,HKA-PROMPT-RECORD-JSON-V1,5bb0ffeccdadc0dab9c8be096f27e008d5a5e42ff7a1139fab5460dec397f3ef,3840x2160,16:9,YES,YES,HKA-VIS-W01-0007_CLEAN_MASTER.png,HKA-VIS-W01-0007_BRANDED_FINAL.png,PROMPT_READY
HKA-VIS-W01-0008,HKA-W01-B01,HKA-W01-B01-R01,"Thí nghiệm con lắc — thay một biến giữ các biến khác",HKA-VCU-W01-006,PROCESS,DOCUMENTARY_REALITY,A4_16_18,D3,LITTLE_ANT,NONE,IN_SCENE_PARTICIPANT,HKA-PROMPT-RECORD-JSON-V1,85aeace68eff5312a77b3283e0e4d339b37897f1e773a52669f9e811675f0a71,3840x2160,16:9,YES,YES,HKA-VIS-W01-0008_CLEAN_MASTER.png,HKA-VIS-W01-0008_BRANDED_FINAL.png,PROMPT_READY
HKA-VIS-W01-0009,HKA-W01-B02,HKA-W01-B02-R01,"Vòng phản hồi trong nhà kính",HKA-VCU-W01-006,MECHANISM,CONCEPTUAL_MODEL,A4_16_18,D3,CRICKET,NONE,GUIDE_LAYER,HKA-PROMPT-RECORD-JSON-V1,2d3aedd6742607ca71d2e8ebf495960abfc0bb542e9e693c1d1fcfa6712ccb92,3840x2160,16:9,YES,YES,HKA-VIS-W01-0009_CLEAN_MASTER.png,HKA-VIS-W01-0009_BRANDED_FINAL.png,PROMPT_READY
HKA-VIS-W01-0010,HKA-W01-B02,HKA-W01-B02-R01,"Một câu hỏi nhiều phương pháp — nghiên cứu phục hồi vùng đất ngập nước",HKA-VCU-W01-007,CROSS_LINK,DOCUMENTARY_REALITY,A5_19_24,D4,SIGMA,CRICKET,IN_SCENE_PARTICIPANT,HKA-PROMPT-RECORD-JSON-V1,327994459702f02039131329d3949429fa6e3f5ef7678117247dabab91f4e283,3840x2160,16:9,YES,YES,HKA-VIS-W01-0010_CLEAN_MASTER.png,HKA-VIS-W01-0010_BRANDED_FINAL.png,PROMPT_READY
