asset_id,vcu_id,node_ids,claim_ids,source_ids,audience,depth,asset_type,representation_type,primary_companion,prompt_sha256,learning_objective,misconception_lock,must_not_imply
HKA-VIS-W02-0001,HKA-VCU-W02-001,HKA-W02-A01|HKA-W02-A05|HKA-W02-B02|HKA-W02-B06|HKA-W02-C02|HKA-W02-C07,CLAIM-W02-A01-01|CLAIM-W02-A05-01|CLAIM-W02-B02-01|CLAIM-W02-B06-01|CLAIM-W02-C02-01|CLAIM-W02-C07-01,SRC-W02-001|SRC-W02-006|SRC-W02-012|SRC-W02-013|SRC-W02-018|SRC-W02-019|SRC-W02-022|SRC-W02-026|SRC-W02-027,UNIVERSAL,MULTI_DEPTH,HERO,CONCEPTUAL_MODEL,ENSEMBLE_FOUR,ed03f468a3a59a3e460036e377cfb6407a0f767191883f49ea806ac476f6580c,"Nhận ra self–others–world là ba cửa nhìn ngang hàng, liên thông vào cùng đời sống con người.",Ba root là ba phần độc lập hoặc có root quan trọng hơn.,pyramid; halo; glowing soul; word cloud; isolated heroic individual
HKA-VIS-W02-0002,HKA-VCU-W02-002,HKA-W02-A06|HKA-W02-B07,CLAIM-W02-A06-01|CLAIM-W02-A06-02|CLAIM-W02-B07-01,SRC-W02-009|SRC-W02-010|SRC-W02-020,A4_16_18,D3,ETHICAL_SCENARIO,CONCEPTUAL_MODEL,PROFESSOR_OWL,ca9297d02eb179523de398727733c59982fe57c168861b18106c8944e88e9195,"Phân biệt agency/choice với ảnh hưởng của defaults, information, resources và constraints; không suy ra free will.",Một thí nghiệm hành vi chứng minh con người có hoặc không có free will.,puppet strings; brain glow; free-will meter; moral score
HKA-VIS-W02-0003,HKA-VCU-W02-003,HKA-W02-A01,CLAIM-W02-A01-01|CLAIM-W02-A01-02,SRC-W02-001,A1_5_8,D1,CONCEPT,DOCUMENTARY_REALITY,SIGMA,7860356738221087770070a1c4fc8ed31a0af861ff74059142c8e25c8fb02f34,Nhìn thấy participation phụ thuộc cả body và environment; không có một normal-body baseline duy nhất.,Một cơ thể khác số đông thì tự động ít khả năng tham gia.,hospital; pity pose; inaccessible hero obstacle; cure before/after
HKA-VIS-W02-0004,HKA-VCU-W02-004,HKA-W02-A02|HKA-W02-A03,CLAIM-W02-A02-01|CLAIM-W02-A02-02|CLAIM-W02-A03-01|CLAIM-W02-A03-02,SRC-W02-002|SRC-W02-008|SRC-W02-003|SRC-W02-004,A1_5_8,D1,CONCEPT,CONCEPTUAL_MODEL,LITTLE_ANT,c0f6f190b4ab7e7d21899a79af216f4ab25f32e02b859d19859582e076d39648,Nhận ra emotion có nhiều components và one face không xác định emotion hay toàn bộ mind.,Một nét mặt luôn cho biết chính xác cảm xúc/tâm trí.,emotion chart; thought bubble; glowing brain; aura; diagnostic label
HKA-VIS-W02-0005,HKA-VCU-W02-005,HKA-W02-B02|HKA-W02-B03|HKA-W02-B04,CLAIM-W02-B02-01|CLAIM-W02-B03-01|CLAIM-W02-B04-01,SRC-W02-012|SRC-W02-013|SRC-W02-014|SRC-W02-016|SRC-W02-017,A1_5_8,D1,CROSS_LINK,DOCUMENTARY_REALITY,CRICKET,94fc835fdb4732b14b1f96aca12f7ce0e3cc1a0ce7546cff9739773d5c8c39b7,"Thấy relationship quality/care/cooperation qua reciprocal interaction, không qua headcount.",Số người ở cạnh nhau cho biết chất lượng quan hệ; care là vai tự nhiên của một giới.,advertising crowd; one-way rescue; gendered care assignment; loneliness face
HKA-VIS-W02-0006,HKA-VCU-W02-006,HKA-W02-A04,CLAIM-W02-A04-01|CLAIM-W02-A04-02,SRC-W02-002|SRC-W02-005,A2_9_12,D2,MISCONCEPTION,CONCEPTUAL_MODEL,PROFESSOR_OWL,83f5f69fbe28b43695ec86739b19ddacc5ee7c352c5fa2740069f4fa4f1269cd,Phân biệt remembering với exact replay; memory có thể reconstruct và sai mà không phải mọi memory đều false.,Ký ức là camera chính xác; nếu reconstructive thì mọi ký ức đều sai.,brain camera; hard-drive files; memory hologram; confidence meter
HKA-VIS-W02-0007,HKA-VCU-W02-007,HKA-W02-B01,CLAIM-W02-B01-01|CLAIM-W02-B01-02,SRC-W02-029,A2_9_12,D2,COMPARISON,CONCEPTUAL_MODEL,SIGMA,cfc77d3340209df99c8db6597da3e87fa0bea842e4f261b0910917d7856534f0,Hiểu language/symbol systems có thể influence attention/categorization nhưng không determine thought.,Ngôn ngữ hoàn toàn quyết định tư duy hoặc có ngôn ngữ ưu việt hơn.,flags; fake scripts; language prison; brain color change
HKA-VIS-W02-0008,HKA-VCU-W02-008,HKA-W02-C03|HKA-W02-C04,CLAIM-W02-C03-01|CLAIM-W02-C04-01|CLAIM-W02-C04-02,SRC-W02-030|SRC-W02-023|SRC-W02-007,A2_9_12,D2,CROSS_LINK,DOCUMENTARY_REALITY,CRICKET,fbaeb9cf763baf914c0721831a3e07f988ef5af8e0930204388485a2e52b59f1,"Nhận ra community/culture hình thành qua practices, participation và change, với variation ngay trong group.","Một culture/community là homogeneous, fixed và có một representative member.",ethnic uniform; exotic props; one person as whole culture; arbitrary flags
HKA-VIS-W02-0009,HKA-VCU-W02-009,HKA-W02-A05,CLAIM-W02-A05-01|CLAIM-W02-A05-02,SRC-W02-006|SRC-W02-007|SRC-W02-008,A3_13_15,D3,CONCEPT,CONCEPTUAL_MODEL,PROFESSOR_OWL,a8a7abbce968a7d47a516d141ddbbf1dd8e228b030f864e857969770360e257e,"Phân biệt personal identity, roles, group belonging, narrative và continuity/change mà không essentialize.",Identity là một label/essence cố định hoặc demographic destiny.,DNA=identity; halo; demographic label destiny; identity hierarchy
HKA-VIS-W02-0010,HKA-VCU-W02-010,HKA-W02-B06,CLAIM-W02-B06-01|CLAIM-W02-B06-02,SRC-W02-018|SRC-W02-019,A3_13_15,D3,COMPARISON,CONCEPTUAL_MODEL,LITTLE_ANT,e4ffdbc7764673fe10a79b0c64308d2be3f90f2c76fb140b9e484094a11eef36,So sánh distributive principles và procedural fairness trong cùng một case.,Fairness = equal split hoặc một universal arithmetic rule.,green-good/red-bad; demographic merit coding; moral verdict
