ARTIFACT_ID	ROLE	PATH	SHA256	SIZE_BYTES	SOURCE_COMMIT	ORIGIN_ENVIRONMENT	GENERATED_BY	GENERATED_FROM	CURRENT_OR_ARCHIVED	EVIDENCE_STATUS	REPRODUCIBILITY_STATUS	NOT_PROVEN_BEYOND
CURRENT_COMPILER	compiler binary	./native/sigmac	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_CAPTURED	CURRENT_RECORDED_BY_WINDOW_A_TO_G	OPPO / Android / Termux / aarch64	UNKNOWN_BUILD_PROCESS	NOT_CAPTURED	CURRENT_RECORDED	SHA256_RECORDED	SINGLE_OBSERVED_BUILD;NOT_PROVEN_REPRODUCIBLE	build flags, compiler version, exact rebuild
CURRENT_VM	VM binary	./native/sigma-vm.v09_candidate	029ae4b6acbee5558f7663a732f8d39a970166e8488d2c4fe62414eb39391c99	NOT_CAPTURED	CURRENT_RECORDED_BY_WINDOW_A_TO_G	OPPO / Android / Termux / aarch64	UNKNOWN_BUILD_PROCESS	NOT_CAPTURED	CURRENT_RECORDED	SHA256_RECORDED	SINGLE_OBSERVED_BUILD;NOT_PROVEN_REPRODUCIBLE	build flags, libc, exact rebuild
CURRENT_RUNTIME_SOURCE	runtime source fixture	./SIGMA_PSI_SEMANTIC_DISCOVERY.sigma	57b275467d42de4b5404a57f486a1706a46f5a4c0626bbec0c045757cde0602e	NOT_CAPTURED	CURRENT_RECORDED_BY_WINDOW_A_TO_G	OPPO / Android / Termux / aarch64	UNKNOWN	NOT_CAPTURED	CURRENT_RECORDED_PRIVATE_CONTENT	SHA256_RECORDED	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	private content, semantic validity
WINDOW_A_FRESH_BYTECODE	fresh bytecode	WINDOW_A_FRESH_BYTECODE	903d78f901ffca4b523d4df3b19e875f1a5f4788bf85fcdbdde611621b769e7a	8273	fa683b1f0d24085e1c109bf3d5e1c330ab22c177	OPPO / Android / Termux / aarch64	./native/sigmac	current runtime source fixture	ARCHIVED_EVIDENCE	SHA256_AND_SIZE_RECORDED	SINGLE_OBSERVED_BUILD;NOT_PROVEN_REPRODUCIBLE	independent exact rebuild, global canonical ABI
BC_MINIMAL_BYTECODE_BASE	byte-exact ABI evidence	BRAIN/EVIDENCE/SIGMA_PSI/WS12/MINIMAL_BYTECODE_BASE.sigmab	26984037391df0e06a01185177261a99fc4b7e6f6ab3998b3158a49ab7283875	53	e56a275f0d366f1d1406c206a737510ce9ddcaa0	OPPO / Android / Termux / aarch64 archive scope	prior compiler/output evidence	WS12 archived selected artifacts	ARCHIVED	SHA256_AND_SIZE_RECORDED	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	current compiler epoch, current VM malformed behavior
BC_BINARY_OPCODE_BASE	byte-exact ABI evidence	BRAIN/EVIDENCE/SIGMA_PSI/WS12/BINARY_OPCODE_BASE.sigmab	23a483ddea89cf36a36618cc7d192d1a3efd51927ed3272a77574be23d14a13c	99	e56a275f0d366f1d1406c206a737510ce9ddcaa0	OPPO / Android / Termux / aarch64 archive scope	prior compiler/output evidence	WS12 archived selected artifacts	ARCHIVED	SHA256_AND_SIZE_RECORDED	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	current compiler epoch, current VM malformed behavior
BC_STEP3_ITER_TEST	byte-exact ABI evidence	BRAIN/EVIDENCE/SIGMA_PSI/WS12/STEP3_ITER_TEST.sigmab	e15e17e7fa3aace360bddd0062880c3e10ac3e869ef256f05f073aa2f6381e4a	166	e56a275f0d366f1d1406c206a737510ce9ddcaa0	OPPO / Android / Termux / aarch64 archive scope	prior compiler/output evidence	WS12 archived selected artifacts	ARCHIVED	SHA256_AND_SIZE_RECORDED	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	current compiler epoch, current VM malformed behavior
BC_DISCIPLINE_LOCK	byte-exact ABI evidence	BRAIN/EVIDENCE/SIGMA_PSI/WS12/DISCIPLINE_LOCK.sigmab	e3d4f6169fbb83d0df8977f8029f53a2181531582954898e469e0e0e6ac1a4a0	644	e56a275f0d366f1d1406c206a737510ce9ddcaa0	OPPO / Android / Termux / aarch64 archive scope	prior compiler/output evidence	WS12 archived selected artifacts	ARCHIVED	SHA256_AND_SIZE_RECORDED	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	current compiler epoch, current VM malformed behavior
BC_BAD_BINARY_SUBOP_FAULT	malformed bytecode catalog	BRAIN/EVIDENCE/SIGMA_PSI/WS12/BAD_BINARY_SUBOP_FAULT.sigmab	629ddc92b5cc1e0920bdc1f8fbc2d361d01d57f26245788f243d924e8e64f8d5	99	e56a275f0d366f1d1406c206a737510ce9ddcaa0	OPPO / Android / Termux / aarch64 archive scope	prior compiler/output evidence	WS12 archived selected artifacts	ARCHIVED	SHA256_AND_SIZE_RECORDED	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	current compiler epoch, current VM malformed behavior
BC_BAD_MAGIC	malformed bytecode catalog	BRAIN/EVIDENCE/SIGMA_PSI/WS12/bad_magic.sigmab	b449859fe2af41be3e2845a0e85d31900d61d07d2164cae330bb676642946ad4	19	e56a275f0d366f1d1406c206a737510ce9ddcaa0	OPPO / Android / Termux / aarch64 archive scope	prior compiler/output evidence	WS12 archived selected artifacts	ARCHIVED	SHA256_AND_SIZE_RECORDED	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	current compiler epoch, current VM malformed behavior
BC_TRUNCATED	malformed bytecode catalog	BRAIN/EVIDENCE/SIGMA_PSI/WS12/truncated.sigmab	f666e4ccff096253426e4111d6746bd62c5b228422fb6617a873ee7af2746501	8	e56a275f0d366f1d1406c206a737510ce9ddcaa0	OPPO / Android / Termux / aarch64 archive scope	prior compiler/output evidence	WS12 archived selected artifacts	ARCHIVED	SHA256_AND_SIZE_RECORDED	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	current compiler epoch, current VM malformed behavior
SUITE_README	public conformance README	BRAIN/CONFORMANCE/SIGMA_PSI_PUBLIC_CONFORMANCE/README.md	NOT_CAPTURED	1175	c2f18816a92b4912c02fe4cbdeccb3bd2637e7e9	GitHub repository SIGMA_LIFE	Window G	Windows A-F freeze evidence	ARCHIVED_AT_WINDOW_G	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, regenerated suite identity
SUITE_CONFORMANCE_MANIFEST	public conformance manifest	BRAIN/CONFORMANCE/SIGMA_PSI_PUBLIC_CONFORMANCE/CONFORMANCE_MANIFEST.tsv	NOT_CAPTURED	1469	c2f18816a92b4912c02fe4cbdeccb3bd2637e7e9	GitHub repository SIGMA_LIFE	Window G	Windows A-F freeze evidence	ARCHIVED_AT_WINDOW_G	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, regenerated suite identity
SUITE_POSITIVE_CASES	public positive cases	BRAIN/CONFORMANCE/SIGMA_PSI_PUBLIC_CONFORMANCE/POSITIVE_CASES.tsv	NOT_CAPTURED	12700	c2f18816a92b4912c02fe4cbdeccb3bd2637e7e9	GitHub repository SIGMA_LIFE	Window G	Windows A-F freeze evidence	ARCHIVED_AT_WINDOW_G	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, regenerated suite identity
SUITE_NEGATIVE_CASES	public negative cases	BRAIN/CONFORMANCE/SIGMA_PSI_PUBLIC_CONFORMANCE/NEGATIVE_CASES.tsv	NOT_CAPTURED	16352	c2f18816a92b4912c02fe4cbdeccb3bd2637e7e9	GitHub repository SIGMA_LIFE	Window G	Windows A-F freeze evidence	ARCHIVED_AT_WINDOW_G	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, regenerated suite identity
SUITE_BOUNDARY_CASES	public boundary cases	BRAIN/CONFORMANCE/SIGMA_PSI_PUBLIC_CONFORMANCE/BOUNDARY_CASES.tsv	NOT_CAPTURED	6373	c2f18816a92b4912c02fe4cbdeccb3bd2637e7e9	GitHub repository SIGMA_LIFE	Window G	Windows A-F freeze evidence	ARCHIVED_AT_WINDOW_G	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, regenerated suite identity
SUITE_NOT_PROVEN_CASES	public not-proven cases	BRAIN/CONFORMANCE/SIGMA_PSI_PUBLIC_CONFORMANCE/NOT_PROVEN_CASES.tsv	NOT_CAPTURED	10872	c2f18816a92b4912c02fe4cbdeccb3bd2637e7e9	GitHub repository SIGMA_LIFE	Window G	Windows A-F freeze evidence	ARCHIVED_AT_WINDOW_G	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, regenerated suite identity
