CONF_ID	CATEGORY	CLAIM	FROZEN_CONTRACT_SOURCE	INPUT_OR_ARTIFACT	EXECUTION_STAGE	COMPILER_SHA256	VM_SHA256	EXPECTED_CONDITION	EXPECTED_CONDITION_PROVENANCE	OBSERVED_RESULT	RC	STDOUT_SHA256	STDERR_SHA256	STATUS	EXACT_SCOPE	NOT_PROVEN_BEYOND	EVIDENCE_PATH	RERUN_REQUIRED
G-NP-001	02_LITERALS_VALUES	literal spelling to runtime value/type mapping	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_B_TYPES_VALUES_OPERATORS_FREEZE_RESULT_20260826.md	1; 1.5; quoted strings; NULL; null	COMPILE_TO_RUNTIME_MAPPING	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	029ae4b6acbee5558f7663a732f8d39a970166e8488d2c4fe62414eb39391c99	runtime mapping requires localized VM/runtime evidence	Window B literal mapping	literal acceptance exists; runtime mappings remain NOT_PROVEN	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_PROVEN	all reviewed literal mappings	literal compiler acceptance	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_B_TYPES_VALUES_OPERATORS_FREEZE_RESULT_20260826.md	YES_WHEN_EXACT_CURRENT_VM_AVAILABLE
G-NP-002	02_LITERALS_VALUES	BOOL literal spelling	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md; BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_B_TYPES_VALUES_OPERATORS_FREEZE_RESULT_20260826.md	BOOL literal source spelling	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	BOOL source spelling needs evidence-grounded probe	Window A/B literal boundary	no BOOL literal spelling localized	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_PROVEN	source spelling only	prior BOOL runtime category existence	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md; BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_B_TYPES_VALUES_OPERATORS_FREEZE_RESULT_20260826.md	YES_WHEN_NARROW_PROBE_AVAILABLE
G-NP-003	03_OPERATORS	operator result types, compatibility, precedence, associativity, evaluation order, short-circuit, coercion	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_B_TYPES_VALUES_OPERATORS_FREEZE_RESULT_20260826.md	requested operator matrix	COMPILE_OR_VM_RUNTIME	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	029ae4b6acbee5558f7663a732f8d39a970166e8488d2c4fe62414eb39391c99	operator semantics require specific differentials	Window B operator matrix	127 operator-matrix cells remain NOT_PROVEN	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_PROVEN	reviewed unresolved operator fields	locked ARITHMETIC/COMPARISON capability existence	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_B_TYPES_VALUES_OPERATORS/WINDOW_B_EVIDENCE_REGISTER_FINAL_20260826.md	YES_WHEN_TARGETED_DIFFERENTIALS_AVAILABLE
G-NP-004	07_BYTECODE_ABI	exact native VM opcode decoder mapping	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_C_BYTECODE_ABI_FREEZE_RESULT_20260826.md; BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_D_VM_RUNTIME_CONTRACT_FREEZE_RESULT_20260826.md	0x01 0x02 0x10 0x11 0x21 0x30 0x31 0x40 0x41 0xFF	BYTECODE_ABI_TO_VM	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	029ae4b6acbee5558f7663a732f8d39a970166e8488d2c4fe62414eb39391c99	source-correlated opcode bytes must not be promoted to native VM decode semantics	Window C/D ABI/runtime boundary	OPCODES_VM_RUNTIME_LOCALIZED=0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_PROVEN	exact opcode decoder mapping	byte-exact/source-correlated ABI fields	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_C_BYTECODE_ABI_FREEZE_RESULT_20260826.md; BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_D_VM_RUNTIME_CONTRACT_FREEZE_RESULT_20260826.md	YES_WHEN_CURRENT_VM_LOCALIZATION_AVAILABLE
G-NP-005	08_VM_EXECUTION	per-opcode stack effects	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_D_VM_RUNTIME_CONTRACT_FREEZE_RESULT_20260826.md	reviewed opcode stack effects	VM_RUNTIME	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	029ae4b6acbee5558f7663a732f8d39a970166e8488d2c4fe62414eb39391c99	stack effects require independent runtime localization	Window D VM runtime	STACK_EFFECTS_PROVEN=0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_PROVEN	per-opcode stack effects	behavioral program-level execution	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_D_VM_RUNTIME_CONTRACT_FREEZE_RESULT_20260826.md	YES_WHEN_CURRENT_VM_LOCALIZATION_AVAILABLE
G-NP-006	08_VM_EXECUTION	exact HALT and result semantics	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_C_BYTECODE_ABI_FREEZE_RESULT_20260826.md; BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_D_VM_RUNTIME_CONTRACT_FREEZE_RESULT_20260826.md	0xFF terminal byte and normal termination	VM_RUNTIME	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	029ae4b6acbee5558f7663a732f8d39a970166e8488d2c4fe62414eb39391c99	terminal byte correlation is not exact HALT/result ABI	Window C/D termination boundary	exact HALT result semantics remain NOT_PROVEN	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_PROVEN	exact HALT/result semantics	normal termination in known-valid programs	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_C_BYTECODE_ABI_FREEZE_RESULT_20260826.md; BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_D_VM_RUNTIME_CONTRACT_FREEZE_RESULT_20260826.md	YES_WHEN_TARGETED_VM_EVIDENCE_EXISTS
G-NP-007	10_VM_ERRORS	malformed bytecode current VM behavior	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_C_BYTECODE_ABI_FREEZE_RESULT_20260826.md; BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md	bad_magic.sigmab; truncated.sigmab; BAD_BINARY_SUBOP_FAULT.sigmab	VM_RUNTIME_MALFORMED	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	029ae4b6acbee5558f7663a732f8d39a970166e8488d2c4fe62414eb39391c99	artifact existence is not current VM rejection behavior	Window E malformed bytecode conformance	three malformed artifacts exist; current VM execution not observed	NOT_OBSERVED	NOT_CAPTURED	NOT_CAPTURED	NOT_PROVEN	current malformed VM RC/stdout/stderr behavior	byte-exact malformed artifact shapes	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_C_BYTECODE_ABI_FREEZE_RESULT_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE/01_ERROR_CONFORMANCE_LEDGER_20260826.tsv	YES_WHEN_CURRENT_VM_EXECUTION_AVAILABLE
G-NP-008	10_VM_ERRORS	stable VM diagnostic ABI and symbolic error codes	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md	VM malformed/error behavior	VM_ERROR	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	029ae4b6acbee5558f7663a732f8d39a970166e8488d2c4fe62414eb39391c99	RC/stdout/stderr error ABI requires observed current VM evidence	Window E RC stdout stderr contract	VM error behavior mostly NOT_PROVEN; no new error codes invented	NOT_APPLICABLE	NOT_CAPTURED	NOT_CAPTURED	NOT_PROVEN	stable VM error ABI	inherited upstream RC26 exact named scope	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md	YES_WHEN_CURRENT_VM_ERROR_EVIDENCE_AVAILABLE
G-NP-009	05_FUNCTIONS	exact stack/frame/call ABI	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_C_BYTECODE_ABI_FREEZE_RESULT_20260826.md; BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_D_VM_RUNTIME_CONTRACT_FREEZE_RESULT_20260826.md	function records; CALL/RETURN behavior	VM_RUNTIME	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	029ae4b6acbee5558f7663a732f8d39a970166e8488d2c4fe62414eb39391c99	source-correlated function records and behavior do not expose frame ABI	Window C/D function boundary	CALL/RETURN behavior proven; exact stack/frame ABI NOT_PROVEN	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_PROVEN	frame internals and argument transfer	CALL to RETURN to caller continuation behavior	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_C_BYTECODE_ABI_FREEZE_RESULT_20260826.md; BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_D_VM_RUNTIME_CONTRACT_FREEZE_RESULT_20260826.md	YES_WHEN_CURRENT_VM_LOCALIZATION_AVAILABLE
G-NP-010	12_SEMANTIC_STRUCTURE	runtime semantic state transition and invariant enforcement	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_F_SEMANTIC_LANGUAGE_LAYER_FREEZE_RESULT_20260826.md	state_transition; invariants; preconditions; postconditions	SEMANTIC_STRUCTURE	NOT_APPLICABLE	NOT_APPLICABLE	semantic fields are not runtime enforcement without evidence	Window F state transitions	persisted fields exist; runtime enforcement NOT_PROVEN	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_PROVEN	semantic enforcement	persisted capsule field structure	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_F_SEMANTIC_LANGUAGE/01_SEMANTIC_CAPSULE_FIELD_LEDGER_20260826.tsv	YES_WHEN_NON_IMPOSED_MACHINE_EVIDENCE_EXISTS
