RELEASE_ID	FIELD	VALUE	EVIDENCE_STATUS	NOT_PROVEN_BEYOND
SIGMA_PSI_RELEASE_CANDIDATE_20260826	release_identity	SIGMA_PSI_RELEASE_CANDIDATE_20260826	FROZEN_NEUTRAL_IDENTIFIER	semantic version, stable, production-ready
SIGMA_PSI_RELEASE_CANDIDATE_20260826	repository	SIGMA-UNIVERSE-NATURE/sigma-freedom	OBSERVED_PUBLIC_REPO	private OPPO working tree contents
SIGMA_PSI_RELEASE_CANDIDATE_20260826	branch	SIGMA_LIFE	OBSERVED_DEFAULT_BRANCH	production release authority
SIGMA_PSI_RELEASE_CANDIDATE_20260826	current_head_at_window_h_start	39c6dd40a0963d69ebc3b2c3f5e7dde6ce80d17f	OBSERVED_GITHUB_HEAD	future branch movement
SIGMA_PSI_RELEASE_CANDIDATE_20260826	window_g_baseline_commit	c2f18816a92b4912c02fe4cbdeccb3bd2637e7e9	FROZEN_BASELINE	newer semantic/conformance claims
SIGMA_PSI_RELEASE_CANDIDATE_20260826	compiler_sha256	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	RECORDED_CURRENT_IDENTITY	build flags, compiler version, exact rebuild
SIGMA_PSI_RELEASE_CANDIDATE_20260826	vm_sha256	029ae4b6acbee5558f7663a732f8d39a970166e8488d2c4fe62414eb39391c99	RECORDED_CURRENT_IDENTITY	build flags, libc, Android build, exact rebuild
SIGMA_PSI_RELEASE_CANDIDATE_20260826	runtime_source_fixture_sha256	57b275467d42de4b5404a57f486a1706a46f5a4c0626bbec0c045757cde0602e	RECORDED_CURRENT_IDENTITY	private source contents and semantic validity
SIGMA_PSI_RELEASE_CANDIDATE_20260826	window_a_fresh_bytecode_sha256	903d78f901ffca4b523d4df3b19e875f1a5f4788bf85fcdbdde611621b769e7a	RECORDED_CURRENT_ARTIFACT	global canonical bytecode ABI
SIGMA_PSI_RELEASE_CANDIDATE_20260826	window_a_fresh_bytecode_size	8273	RECORDED_CURRENT_ARTIFACT	all bytecode sizes
SIGMA_PSI_RELEASE_CANDIDATE_20260826	public_conformance_total	66	FROZEN_WINDOW_G	complete language/runtime spec
SIGMA_PSI_RELEASE_CANDIDATE_20260826	public_pass_cases	46	TARGETED_PROVENANCE_CHECKED	unbounded subclaim proof
SIGMA_PSI_RELEASE_CANDIDATE_20260826	public_not_proven_cases	15	FROZEN_WINDOW_G	failure or unsupported status
SIGMA_PSI_RELEASE_CANDIDATE_20260826	public_out_of_surface_cases	2	FROZEN_WINDOW_G	permanent exclusion
SIGMA_PSI_RELEASE_CANDIDATE_20260826	public_conflicted_cases	3	FROZEN_WINDOW_G	silent resolution
SIGMA_PSI_RELEASE_CANDIDATE_20260826	orphan_public_pass_cases	0	TARGETED_PROVENANCE_CHECKED	future suite changes
SIGMA_PSI_RELEASE_CANDIDATE_20260826	release_package_status	CANDIDATE_MANIFEST_CREATED	WINDOW_H	public language spec readiness
