CONF_ID	CATEGORY	CLAIM	FROZEN_CONTRACT_SOURCE	INPUT_OR_ARTIFACT	EXECUTION_STAGE	COMPILER_SHA256	VM_SHA256	EXPECTED_CONDITION	EXPECTED_CONDITION_PROVENANCE	OBSERVED_RESULT	RC	STDOUT_SHA256	STDERR_SHA256	STATUS	EXACT_SCOPE	NOT_PROVEN_BEYOND	EVIDENCE_PATH	RERUN_REQUIRED
G-POS-001	01_SOURCE_SURFACE	two-bracket DOMAIN/VERSION header accepted	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md	#SIGMAUNIVERSE_LANGUAGE[DOMAIN=...][VERSION=...]	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler accepts exact tested header family	Window A HEADER	accepted in tested forms; bytecode created where control form valid	0	NOT_CAPTURED	NOT_CAPTURED	PASS	exact tested header family only	generic DOMAIN grammar and multiple headers	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/	NO
G-POS-002	01_SOURCE_SURFACE	addressed block accepted	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md	⟡(Σ.MAIN) { ... }	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler accepts exact addressed block form	Window A BLOCK	accepted exact addressed block and empty addressed block	0	NOT_CAPTURED	NOT_CAPTURED	PASS	exact block/address forms only	runtime namespace meaning and generic dotted grammar	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/	NO
G-POS-003	01_SOURCE_SURFACE	binding colon and semicolon accepted	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md	⚡ a: 1;	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler accepts exact neutral binding with colon delimiter and semicolon	Window A STATEMENT	accepted exact binding control	0	NOT_CAPTURED	NOT_CAPTURED	PASS	exact binding form only	generic role of ⚡ and every statement kind	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/	NO
G-POS-004	01_SOURCE_SURFACE	grouping forms accepted	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md	(1); (1 + 2)	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler accepts exact grouping forms and emits bytecode identity in matched probes	Window A GROUPING	accepted exact grouped forms; matched bytecode identity observed	0	NOT_CAPTURED	NOT_CAPTURED	PASS	exact grouping probes only	precedence and associativity	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/	NO
G-POS-005	01_SOURCE_SURFACE	IF parenthesized condition accepted	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md	IF (1 < 2) { ... }	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler accepts exact uppercase IF with parenthesized condition	Window A IF	accepted exact IF form	0	NOT_CAPTURED	NOT_CAPTURED	PASS	exact source grammar only	runtime IF/ELSE internals and unparenthesized form	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/	NO
G-POS-006	01_SOURCE_SURFACE	WHILE parenthesized condition accepted	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md	WHILE (1 < 2) { ... }	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler accepts exact uppercase WHILE with parenthesized condition	Window A WHILE	accepted exact WHILE form	0	NOT_CAPTURED	NOT_CAPTURED	PASS	exact source grammar only	exact jump semantics and unparenthesized form	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/	NO
G-POS-007	01_SOURCE_SURFACE	DEF forms accepted	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md	DEF f(a) { RETURN a; }; DEF f()	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler accepts exact named DEF with parameter list and empty parameter list	Window A DEF	accepted exact DEF forms	0	NOT_CAPTURED	NOT_CAPTURED	PASS	exact source grammar only	multi-parameter grammar, recursion, closures, defaults	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/	NO
G-POS-008	01_SOURCE_SURFACE	CALL expressions accepted	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md	f(1); f() on binding RHS	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler accepts exact named call expressions on binding RHS	Window A CALL	accepted exact call expression forms	0	NOT_CAPTURED	NOT_CAPTURED	PASS	compiler surface only	runtime arity and call-statement syntax	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/	NO
G-POS-009	01_SOURCE_SURFACE	RETURN expression with semicolon accepted	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md	RETURN a;	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler accepts exact uppercase RETURN expression with semicolon inside DEF	Window A RETURN	accepted exact RETURN expression form	0	NOT_CAPTURED	NOT_CAPTURED	PASS	compiler surface only	return-value convention and top-level return effect	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/	NO
G-POS-010	02_LITERALS_VALUES	exact literal source forms accepted lexically	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md; BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_B_TYPES_VALUES_OPERATORS_FREEZE_RESULT_20260826.md	1; 1.5; double quoted x; single quoted x; NULL; null	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler accepts exact tested literal spellings	Window A LITERALS; Window B literal mapping boundary	accepted exact literal spellings; quote forms byte-identical; NULL/null byte-different	0	NOT_CAPTURED	NOT_CAPTURED	PASS	lexical/compiler acceptance only	runtime value/type mapping	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md; BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_B_TYPES_VALUES_OPERATORS_FREEZE_RESULT_20260826.md	NO
