RECORD_ID	TEST_ID	INPUT_CLASS	STAGE	COMPILER_SHA256	VM_SHA256	RC	STDOUT_SHA256	STDERR_SHA256	BYTECODE_CREATED	ARTIFACT_EXISTS	CURRENT_VM_EXECUTION_OBSERVED	STATUS	EXACT_SCOPE	NOT_PROVEN_BEYOND	PROVENANCE
WE-COMP-001	WA-HDR-01B	missing language header	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	3	NOT_CAPTURED	NOT_CAPTURED	NO	NOT_APPLICABLE	NOT_APPLICABLE	MACHINE_OBSERVED_COMPILER_REJECT	Exact minimal block with header absent rejected; no bytecode emitted.	Does not prove all files require headers or localize lexer/parser cause.	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/WINDOW_A_HEADER_BATCH1_20260826.md
WE-COMP-002	WA-HDR-02B	header after block	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	3	NOT_CAPTURED	NOT_CAPTURED	NO	NOT_APPLICABLE	NOT_APPLICABLE	MACHINE_OBSERVED_COMPILER_REJECT	Same header placed after block rejected; no bytecode emitted.	Does not prove every pre-header/comment/whitespace placement rule.	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/WINDOW_A_HEADER_BATCH1_20260826.md
WE-COMP-003	WA-HDR-03B	DOMAIN field absent	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	3	NOT_CAPTURED	NOT_CAPTURED	NO	NOT_APPLICABLE	NOT_APPLICABLE	MACHINE_OBSERVED_COMPILER_REJECT	Header with VERSION only rejected; no bytecode emitted.	Does not define generic DOMAIN grammar or header error ABI.	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/WINDOW_A_HEADER_BATCH1_20260826.md
WE-COMP-004	WA-HDR-04B	VERSION field absent	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	3	NOT_CAPTURED	NOT_CAPTURED	NO	NOT_APPLICABLE	NOT_APPLICABLE	MACHINE_OBSERVED_COMPILER_REJECT	Header with DOMAIN only rejected; no bytecode emitted.	Does not define generic VERSION grammar or header error ABI.	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/WINDOW_A_HEADER_BATCH2_20260826.md
WE-COMP-005	WA-HDR-05B	DOMAIN delimiter ':' instead of '='	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	3	NOT_CAPTURED	NOT_CAPTURED	NO	NOT_APPLICABLE	NOT_APPLICABLE	MACHINE_OBSERVED_COMPILER_REJECT	Tested DOMAIN:... header rejected; no bytecode emitted.	Does not establish every legal/illegal key-value delimiter.	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/WINDOW_A_HEADER_BATCH2_20260826.md
WE-COMP-006	WA-HDR-06B	missing DOMAIN closing bracket	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	3	NOT_CAPTURED	NOT_CAPTURED	NO	NOT_APPLICABLE	NOT_APPLICABLE	MACHINE_OBSERVED_COMPILER_REJECT	Tested missing-closing-bracket header rejected; no bytecode emitted.	Does not enumerate all malformed bracket cases.	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/WINDOW_A_HEADER_BATCH2_20260826.md
WE-COMP-007	WA-HDR-07B	single-bracket comma DOMAIN/VERSION header	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	3	NOT_CAPTURED	NOT_CAPTURED	NO	NOT_APPLICABLE	NOT_APPLICABLE	MACHINE_OBSERVED_COMPILER_REJECT	Tested single-bracket comma form rejected; no bytecode emitted.	Does not establish every alternate header serialization.	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/WINDOW_A_HEADER_BATCH2_20260826.md
WE-COMP-008	WA-BLK-02B	empty block address ⟡()	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	4	NOT_CAPTURED	NOT_CAPTURED	NO	NOT_APPLICABLE	NOT_APPLICABLE	MACHINE_OBSERVED_COMPILER_REJECT	Exact empty-address block rejected; no bytecode emitted.	Does not define full address grammar or namespace semantics.	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/WINDOW_A_BLOCK_BATCH1_20260826.md
WE-COMP-009	WA-BLK-03B	nested addressed block	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	4	NOT_CAPTURED	NOT_CAPTURED	NO	NOT_APPLICABLE	NOT_APPLICABLE	MACHINE_OBSERVED_COMPILER_REJECT	Exact ⟡(...) block nested inside another ⟡(...) block rejected; no bytecode emitted.	Does not prove every possible nesting construct is forbidden.	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/WINDOW_A_BLOCK_BATCH1_20260826.md
WE-COMP-010	WA-STMT-01B	missing binding semicolon	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	4	NOT_CAPTURED	NOT_CAPTURED	NO	NOT_APPLICABLE	NOT_APPLICABLE	MACHINE_OBSERVED_COMPILER_REJECT	Exact no-semicolon binding rejected; no bytecode emitted.	Does not establish universal semicolon rule for every statement kind.	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/WINDOW_A_STATEMENT_BATCH1_20260826.md
WE-COMP-011	WA-STMT-02B	binding '=' instead of ':'	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	4	NOT_CAPTURED	NOT_CAPTURED	NO	NOT_APPLICABLE	NOT_APPLICABLE	MACHINE_OBSERVED_COMPILER_REJECT	Exact ⚡ a = 1; binding form rejected; no bytecode emitted.	Does not define every legal or illegal assignment/binding operator.	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/WINDOW_A_STATEMENT_BATCH1_20260826.md
WE-COMP-012	WA-STMT-03B	newline-only two bindings without semicolons	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	4	NOT_CAPTURED	NOT_CAPTURED	NO	NOT_APPLICABLE	NOT_APPLICABLE	MACHINE_OBSERVED_COMPILER_REJECT	Exact two-binding newline-only terminator form rejected; no bytecode emitted.	Does not establish line-break significance for all statements or expressions.	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/WINDOW_A_STATEMENT_BATCH1_20260826.md
WE-COMP-013	WA-NS-02B	two-segment address Σ.A.B	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	4	NOT_CAPTURED	NOT_CAPTURED	NO	NOT_APPLICABLE	NOT_APPLICABLE	MACHINE_OBSERVED_COMPILER_REJECT	Exact tested two-segment block address rejected; no bytecode emitted.	Does not prove all dotted namespace/address syntax invalid in every source position.	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/WINDOW_A_NAMESPACE_BATCH1_20260826.md
WE-COMP-014	WA-NS-03A	two-segment address duplicate control Σ.A.B	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	4	NOT_CAPTURED	NOT_CAPTURED	NO	NOT_APPLICABLE	NOT_APPLICABLE	MACHINE_OBSERVED_COMPILER_REJECT	Exact Σ.A.B rejected again when used as the rejected control for double-dot probe.	Duplicate negative observation; does not isolate double-dot cause.	BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_A_SURFACE_PROBES/WINDOW_A_NAMESPACE_BATCH1_20260826.md
