FIELD_ID	CATEGORY	SUBJECT	STATUS	EVIDENCE_BOUNDARY
BL-01	BYTECODE_LOADING	Known valid current bytecode is accepted/executed by current VM in tested scope	BEHAVIORALLY_PROVEN	Current VM accepts/executes known valid bytecode in tested scope; no validation/decode rule inferred.
BL-02	BYTECODE_LOADING	Exact native magic validation/handling	NOT_PROVEN	No direct current native VM localization/trace or isolated current-VM differential evidence closes this field.
BL-03	BYTECODE_LOADING	Invalid-magic rejection behavior on current VM	NOT_PROVEN	No direct current native VM localization/trace or isolated current-VM differential evidence closes this field.
BL-04	BYTECODE_LOADING	Exact native instruction-stream start / decoder entry offset	NOT_PROVEN	No direct current native VM localization/trace or isolated current-VM differential evidence closes this field.
BL-05	BYTECODE_LOADING	Truncated/malformed stream handling on current VM	NOT_PROVEN	No direct current native VM localization/trace or isolated current-VM differential evidence closes this field.
DD-01	DECODE_DISPATCH	Native opcode decoder/dispatch implementation location	NOT_PROVEN	No direct current native VM localization/trace or isolated current-VM differential evidence closes this field.
DD-02	DECODE_DISPATCH	Exact native runtime mapping for byte 0x01	NOT_PROVEN	No direct current native VM localization/trace or isolated current-VM differential evidence closes this field.
DD-03	DECODE_DISPATCH	Exact native runtime mapping for byte 0x02	NOT_PROVEN	No direct current native VM localization/trace or isolated current-VM differential evidence closes this field.
DD-04	DECODE_DISPATCH	Exact native runtime mapping for byte 0x10	NOT_PROVEN	No direct current native VM localization/trace or isolated current-VM differential evidence closes this field.
DD-05	DECODE_DISPATCH	Exact native runtime mapping for byte 0x11	NOT_PROVEN	No direct current native VM localization/trace or isolated current-VM differential evidence closes this field.
DD-06	DECODE_DISPATCH	Exact native runtime mapping for byte 0x21	NOT_PROVEN	No direct current native VM localization/trace or isolated current-VM differential evidence closes this field.
DD-07	DECODE_DISPATCH	Exact native runtime mapping for byte 0x30	NOT_PROVEN	No direct current native VM localization/trace or isolated current-VM differential evidence closes this field.
DD-08	DECODE_DISPATCH	Exact native runtime mapping for byte 0x31	NOT_PROVEN	No direct current native VM localization/trace or isolated current-VM differential evidence closes this field.
DD-09	DECODE_DISPATCH	Exact native runtime mapping for byte 0x40	NOT_PROVEN	No direct current native VM localization/trace or isolated current-VM differential evidence closes this field.
DD-10	DECODE_DISPATCH	Exact native runtime mapping for byte 0x41	NOT_PROVEN	No direct current native VM localization/trace or isolated current-VM differential evidence closes this field.
DD-11	DECODE_DISPATCH	Exact native runtime mapping for byte 0xFF	NOT_PROVEN	No direct current native VM localization/trace or isolated current-VM differential evidence closes this field.
