FIELD_ID	SECTION	FIELD	EVIDENCE	STATUS	BOUNDED_CLAIM	NOT_PROVEN_BEYOND
L-01	LOAD_RUNTIME	exact runtime opcode mapping for source-correlated 0x10	WS12/Window D source correlation only; J1 localizes only 0x21 and 0xFF.	NOT_PROVEN	No J3 runtime mapping promoted.	Exact decoder mapping remains unknown.
L-02	LOAD_RUNTIME	lookup source / name resolution source	Working variables prove functional existence only.	NOT_PROVEN	No lookup source identified.	Name table, locals, globals, environment, host, or other source cannot be selected.
L-03	LOAD_RUNTIME	local/global selection order	No controlled current-runtime shadowing test and no direct trace.	NOT_PROVEN	LOCAL_GLOBAL_SELECTION=NOT_PROVEN.	Locals-first, globals-first, lexical, dynamic, or other order cannot be inferred.
L-04	LOAD_RUNTIME	shadowing read behavior	No current fingerprint-bound differential shadowing output.	NOT_PROVEN	No shadowing rule promoted.	Same-name values across scopes remain unisolated.
L-05	LOAD_RUNTIME	undefined-name behavior attributable to LOAD	J2 lowercase null case: compiler accepted; VM RC=11 undefined symbol 0; opcode/path not localized.	NOT_PROVEN	Bounded undefined-symbol observation preserved but not assigned to LOAD.	General undefined-name RC, stderr, stage, and lookup mechanism remain unknown.
L-06	LOAD_RUNTIME	read-after-write state persistence within one execution	Variables execute in tested programs, but no J3-isolated read-after-write record.	NOT_PROVEN	Functional variable existence preserved.	Exact persistence, update visibility, and LOAD/STORE causation remain unknown.
S-01	STORE_RUNTIME	exact runtime opcode mapping for source-correlated 0x11	WS12/Window D source correlation only; J1 localizes only 0x21 and 0xFF.	NOT_PROVEN	No J3 runtime mapping promoted.	Exact decoder mapping remains unknown.
S-02	STORE_RUNTIME	STORE destination identity	Working bindings execute but destination storage is not exposed.	NOT_PROVEN	STORE_DESTINATION=NOT_PROVEN.	Global table, local frame, environment, or other destination cannot be selected.
S-03	STORE_RUNTIME	local/global destination selection	No controlled current-runtime scope-write differential and no trace.	NOT_PROVEN	No local/global STORE selection rule promoted.	Main/function destination policy remains unknown.
S-04	STORE_RUNTIME	shadowing write isolation	No current fingerprint-bound nested/same-name write observation.	NOT_PROVEN	No write-shadowing rule promoted.	Whether inner writes affect outer/global state remains unknown.
S-05	STORE_RUNTIME	state overwrite/persistence within execution	Variable functionality is preserved, but no isolated two-write/readback record tied to current hashes.	NOT_PROVEN	No exact update rule promoted.	Overwrite, mutation, rebinding, and persistence mechanics remain unknown.
C-01	CALL_INTERNALS	exact runtime opcode mapping for source-correlated 0x30	Serialized CALL shape only; J1 did not localize 0x30.	NOT_PROVEN	No CALL byte mapping promoted.	Native dispatch identity remains unknown.
C-02	CALL_INTERNALS	argument ordering	No current-runtime distinct-argument differential with exact output.	NOT_PROVEN	ARGUMENT_ORDERING=NOT_PROVEN.	Source order, reverse order, evaluation order, and transfer order are not inferred.
C-03	CALL_INTERNALS	argument count transfer	u16 argc is compiler-output-correlated; no runtime count transfer trace or arity fault.	NOT_PROVEN	ARGUMENT_COUNT_TRANSFER=NOT_PROVEN.	Runtime use, validation, mismatch behavior, and count placement remain unknown.
C-04	CALL_INTERNALS	argument binding to parameters	MOTHER_TEST_0002 proves a call succeeds but does not isolate distinct bindings.	NOT_PROVEN	ARGUMENT_BINDING=NOT_PROVEN.	Positional binding, slot assignment, aliases, or copies cannot be inferred.
C-05	CALL_INTERNALS	frame separation / nested-call isolation	Whole-program CALL/RETURN success does not expose independent nested state.	NOT_PROVEN	FRAME_SEPARATION=NOT_PROVEN; NESTED_CALL_ISOLATION=NOT_PROVEN.	Frame ownership and local-state isolation remain unknown.
C-06	CALL_INTERNALS	frame layout	No frame bytes, slots, trace, or debugger surface.	NOT_PROVEN	FRAME_LAYOUT=NOT_PROVEN.	Return address, parameters, locals, metadata, and stack schema remain unknown.
R-01	RETURN_INTERNALS	exact runtime opcode mapping for source-correlated 0x31	Serialized RETURN correlation only; J1 did not localize 0x31.	NOT_PROVEN	No RETURN byte mapping promoted.	Native dispatch identity remains unknown.
