asset_id,batch_id,run_id_planned,vcu_id,primary_audience,academic_depth,asset_type,representation_type,primary_companion,academic_content_sha,prompt_content_commit_sha,brand_asset_sha,prompt_record_version,prompt_sha256,clean_master_filename,branded_final_filename,production_status
HKA-VIS-W02-0001,HKA-W02-B00,HKA-W02-B00-R01,HKA-VCU-W02-001,UNIVERSAL,MULTI_DEPTH,HERO,CONCEPTUAL_MODEL,ENSEMBLE_FOUR,e900d3b623c27f6d4a0fe2750fa499295788776e,295f73a8e833b5a0ffb9642078514e7e3924700a,2d3aa9d8418acccd39a3d263e917d4157e029e17,2.0,ed03f468a3a59a3e460036e377cfb6407a0f767191883f49ea806ac476f6580c,HKA-VIS-W02-0001_CLEAN_MASTER.png,HKA-VIS-W02-0001_BRANDED_FINAL.png,PROMPT_LOCKED_NO_RUN
HKA-VIS-W02-0002,HKA-W02-B00,HKA-W02-B00-R01,HKA-VCU-W02-002,A4_16_18,D3,ETHICAL_SCENARIO,CONCEPTUAL_MODEL,PROFESSOR_OWL,e900d3b623c27f6d4a0fe2750fa499295788776e,295f73a8e833b5a0ffb9642078514e7e3924700a,2d3aa9d8418acccd39a3d263e917d4157e029e17,2.0,ca9297d02eb179523de398727733c59982fe57c168861b18106c8944e88e9195,HKA-VIS-W02-0002_CLEAN_MASTER.png,HKA-VIS-W02-0002_BRANDED_FINAL.png,PROMPT_LOCKED_NO_RUN
HKA-VIS-W02-0003,HKA-W02-B01,HKA-W02-B01-R01,HKA-VCU-W02-003,A1_5_8,D1,CONCEPT,DOCUMENTARY_REALITY,SIGMA,e900d3b623c27f6d4a0fe2750fa499295788776e,295f73a8e833b5a0ffb9642078514e7e3924700a,2d3aa9d8418acccd39a3d263e917d4157e029e17,2.0,7860356738221087770070a1c4fc8ed31a0af861ff74059142c8e25c8fb02f34,HKA-VIS-W02-0003_CLEAN_MASTER.png,HKA-VIS-W02-0003_BRANDED_FINAL.png,PROMPT_LOCKED_NO_RUN
HKA-VIS-W02-0004,HKA-W02-B01,HKA-W02-B01-R01,HKA-VCU-W02-004,A1_5_8,D1,CONCEPT,CONCEPTUAL_MODEL,LITTLE_ANT,e900d3b623c27f6d4a0fe2750fa499295788776e,295f73a8e833b5a0ffb9642078514e7e3924700a,2d3aa9d8418acccd39a3d263e917d4157e029e17,2.0,c0f6f190b4ab7e7d21899a79af216f4ab25f32e02b859d19859582e076d39648,HKA-VIS-W02-0004_CLEAN_MASTER.png,HKA-VIS-W02-0004_BRANDED_FINAL.png,PROMPT_LOCKED_NO_RUN
HKA-VIS-W02-0005,HKA-W02-B01,HKA-W02-B01-R01,HKA-VCU-W02-005,A1_5_8,D1,CROSS_LINK,DOCUMENTARY_REALITY,CRICKET,e900d3b623c27f6d4a0fe2750fa499295788776e,295f73a8e833b5a0ffb9642078514e7e3924700a,2d3aa9d8418acccd39a3d263e917d4157e029e17,2.0,94fc835fdb4732b14b1f96aca12f7ce0e3cc1a0ce7546cff9739773d5c8c39b7,HKA-VIS-W02-0005_CLEAN_MASTER.png,HKA-VIS-W02-0005_BRANDED_FINAL.png,PROMPT_LOCKED_NO_RUN
HKA-VIS-W02-0006,HKA-W02-B01,HKA-W02-B01-R01,HKA-VCU-W02-006,A2_9_12,D2,MISCONCEPTION,CONCEPTUAL_MODEL,PROFESSOR_OWL,e900d3b623c27f6d4a0fe2750fa499295788776e,295f73a8e833b5a0ffb9642078514e7e3924700a,2d3aa9d8418acccd39a3d263e917d4157e029e17,2.0,83f5f69fbe28b43695ec86739b19ddacc5ee7c352c5fa2740069f4fa4f1269cd,HKA-VIS-W02-0006_CLEAN_MASTER.png,HKA-VIS-W02-0006_BRANDED_FINAL.png,PROMPT_LOCKED_NO_RUN
HKA-VIS-W02-0007,HKA-W02-B01,HKA-W02-B01-R01,HKA-VCU-W02-007,A2_9_12,D2,COMPARISON,CONCEPTUAL_MODEL,SIGMA,e900d3b623c27f6d4a0fe2750fa499295788776e,295f73a8e833b5a0ffb9642078514e7e3924700a,2d3aa9d8418acccd39a3d263e917d4157e029e17,2.0,cfc77d3340209df99c8db6597da3e87fa0bea842e4f261b0910917d7856534f0,HKA-VIS-W02-0007_CLEAN_MASTER.png,HKA-VIS-W02-0007_BRANDED_FINAL.png,PROMPT_LOCKED_NO_RUN
HKA-VIS-W02-0008,HKA-W02-B01,HKA-W02-B01-R01,HKA-VCU-W02-008,A2_9_12,D2,CROSS_LINK,DOCUMENTARY_REALITY,CRICKET,e900d3b623c27f6d4a0fe2750fa499295788776e,295f73a8e833b5a0ffb9642078514e7e3924700a,2d3aa9d8418acccd39a3d263e917d4157e029e17,2.0,fbaeb9cf763baf914c0721831a3e07f988ef5af8e0930204388485a2e52b59f1,HKA-VIS-W02-0008_CLEAN_MASTER.png,HKA-VIS-W02-0008_BRANDED_FINAL.png,PROMPT_LOCKED_NO_RUN
HKA-VIS-W02-0009,HKA-W02-B02,HKA-W02-B02-R01,HKA-VCU-W02-009,A3_13_15,D3,CONCEPT,CONCEPTUAL_MODEL,PROFESSOR_OWL,e900d3b623c27f6d4a0fe2750fa499295788776e,295f73a8e833b5a0ffb9642078514e7e3924700a,2d3aa9d8418acccd39a3d263e917d4157e029e17,2.0,a8a7abbce968a7d47a516d141ddbbf1dd8e228b030f864e857969770360e257e,HKA-VIS-W02-0009_CLEAN_MASTER.png,HKA-VIS-W02-0009_BRANDED_FINAL.png,PROMPT_LOCKED_NO_RUN
HKA-VIS-W02-0010,HKA-W02-B02,HKA-W02-B02-R01,HKA-VCU-W02-010,A3_13_15,D3,COMPARISON,CONCEPTUAL_MODEL,LITTLE_ANT,e900d3b623c27f6d4a0fe2750fa499295788776e,295f73a8e833b5a0ffb9642078514e7e3924700a,2d3aa9d8418acccd39a3d263e917d4157e029e17,2.0,e4ffdbc7764673fe10a79b0c64308d2be3f90f2c76fb140b9e484094a11eef36,HKA-VIS-W02-0010_CLEAN_MASTER.png,HKA-VIS-W02-0010_BRANDED_FINAL.png,PROMPT_LOCKED_NO_RUN
