CONF_ID	CATEGORY	CLAIM	FROZEN_CONTRACT_SOURCE	INPUT_OR_ARTIFACT	EXECUTION_STAGE	COMPILER_SHA256	VM_SHA256	EXPECTED_CONDITION	EXPECTED_CONDITION_PROVENANCE	OBSERVED_RESULT	RC	STDOUT_SHA256	STDERR_SHA256	STATUS	EXACT_SCOPE	NOT_PROVEN_BEYOND	EVIDENCE_PATH	RERUN_REQUIRED
G-NEG-001	09_COMPILER_ERRORS	compiler rejects exact negative form	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md	missing header	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler rejects exact form and creates no bytecode	Window A header contract; Window E WE-NEG ledger	compiler RC=3; bytecode_created=NO	3	NOT_CAPTURED	NOT_CAPTURED	PASS	exact negative source form only	human-readable error meaning and stable symbolic error code	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE/01_ERROR_CONFORMANCE_LEDGER_20260826.tsv	NO
G-NEG-002	09_COMPILER_ERRORS	compiler rejects exact negative form	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md	header after block	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler rejects exact form and creates no bytecode	Window A header contract; Window E WE-NEG ledger	compiler RC=3; bytecode_created=NO	3	NOT_CAPTURED	NOT_CAPTURED	PASS	exact negative source form only	human-readable error meaning and stable symbolic error code	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE/01_ERROR_CONFORMANCE_LEDGER_20260826.tsv	NO
G-NEG-003	09_COMPILER_ERRORS	compiler rejects exact negative form	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md	DOMAIN absent	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler rejects exact form and creates no bytecode	Window A header contract; Window E WE-NEG ledger	compiler RC=3; bytecode_created=NO	3	NOT_CAPTURED	NOT_CAPTURED	PASS	exact negative source form only	human-readable error meaning and stable symbolic error code	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE/01_ERROR_CONFORMANCE_LEDGER_20260826.tsv	NO
G-NEG-004	09_COMPILER_ERRORS	compiler rejects exact negative form	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md	VERSION absent	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler rejects exact form and creates no bytecode	Window A header contract; Window E WE-NEG ledger	compiler RC=3; bytecode_created=NO	3	NOT_CAPTURED	NOT_CAPTURED	PASS	exact negative source form only	human-readable error meaning and stable symbolic error code	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE/01_ERROR_CONFORMANCE_LEDGER_20260826.tsv	NO
G-NEG-005	09_COMPILER_ERRORS	compiler rejects exact negative form	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md	DOMAIN delimiter colon	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler rejects exact form and creates no bytecode	Window A header contract; Window E WE-NEG ledger	compiler RC=3; bytecode_created=NO	3	NOT_CAPTURED	NOT_CAPTURED	PASS	exact negative source form only	human-readable error meaning and stable symbolic error code	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE/01_ERROR_CONFORMANCE_LEDGER_20260826.tsv	NO
G-NEG-006	09_COMPILER_ERRORS	compiler rejects exact negative form	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md	missing header bracket	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler rejects exact form and creates no bytecode	Window A header contract; Window E WE-NEG ledger	compiler RC=3; bytecode_created=NO	3	NOT_CAPTURED	NOT_CAPTURED	PASS	exact negative source form only	human-readable error meaning and stable symbolic error code	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE/01_ERROR_CONFORMANCE_LEDGER_20260826.tsv	NO
G-NEG-007	09_COMPILER_ERRORS	compiler rejects exact negative form	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md	single-bracket comma header	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler rejects exact form and creates no bytecode	Window A header contract; Window E WE-NEG ledger	compiler RC=3; bytecode_created=NO	3	NOT_CAPTURED	NOT_CAPTURED	PASS	exact negative source form only	human-readable error meaning and stable symbolic error code	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE/01_ERROR_CONFORMANCE_LEDGER_20260826.tsv	NO
G-NEG-008	09_COMPILER_ERRORS	compiler rejects exact negative form	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md	empty block address	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler rejects exact form and creates no bytecode	Window A block contract; Window E WE-NEG ledger	compiler RC=4; bytecode_created=NO	4	NOT_CAPTURED	NOT_CAPTURED	PASS	exact negative source form only	human-readable error meaning and stable symbolic error code	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE/01_ERROR_CONFORMANCE_LEDGER_20260826.tsv	NO
G-NEG-009	09_COMPILER_ERRORS	compiler rejects exact negative form	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md	nested addressed block	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler rejects exact form and creates no bytecode	Window A block contract; Window E WE-NEG ledger	compiler RC=4; bytecode_created=NO	4	NOT_CAPTURED	NOT_CAPTURED	PASS	exact negative source form only	human-readable error meaning and stable symbolic error code	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE/01_ERROR_CONFORMANCE_LEDGER_20260826.tsv	NO
G-NEG-010	09_COMPILER_ERRORS	compiler rejects exact negative form	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md	missing binding semicolon	COMPILE	65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71	NOT_APPLICABLE	compiler rejects exact form and creates no bytecode	Window A statement contract; Window E WE-NEG ledger	compiler RC=4; bytecode_created=NO	4	NOT_CAPTURED	NOT_CAPTURED	PASS	exact negative source form only	human-readable error meaning and stable symbolic error code	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md; BRAIN/EVIDENCE/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE/01_ERROR_CONFORMANCE_LEDGER_20260826.tsv	NO
