EVIDENCE_ID	SOURCE	EVIDENCE_CLASS	OBSERVATION	J3_USE	NOT_PROVEN_BEYOND
J3-EV-001	BRAIN/WORKSTREAMS/SIGMA_PSI/SIGMA_ACTIVE_MINIMAL_CHECKPOINT_AFTER_WINDOW_J2_20260827.md @ 2133328c7e99a6415b9ec82df2e42f84b201f193	REPOSITORY_VERIFIED_CHECKPOINT	Current hash scope: compiler 65f69217ad44f33c1aa1d4c31678d38940cd3d0b96f41892e8280dac57ad6a71; VM 029ae4b6acbee5558f7663a732f8d39a970166e8488d2c4fe62414eb39391c99; 21 capability families preserved; J3 is next.	Binds inherited scope and prevents J2 reopen.	Does not make unavailable executable bytes present and does not independently rehash them.
J3-EV-002	USER-PROVIDED J1 PRESERVED RESULT	USER_AUTHORITATIVE_PRESERVED_RUNTIME_EVIDENCE	0x21 maps to BINARY dispatch in tested scope.	Preserved only for stack-effect boundary and conflict audit.	Does not identify LOAD/STORE/CALL/RETURN/JUMP mappings or any stack transition.
J3-EV-003	USER-PROVIDED J1 PRESERVED RESULT	USER_AUTHORITATIVE_PRESERVED_RUNTIME_EVIDENCE	0xFF maps to HALT/termination in tested scope.	Preserved for termination/result boundary.	Does not prove terminal value consumption, result source, mandatory HALT, or stack effect.
J3-EV-004	USER-PROVIDED J1 PRESERVED RESULT	USER_AUTHORITATIVE_PRESERVED_RUNTIME_EVIDENCE	BINARY sub-operation localization is PARTIAL.	Prevents overgeneralization from one accepted/rejected sub-op pair.	Does not close operand order, result type, or stack effect.
J3-EV-005	BRAIN/WORKSTREAMS/SIGMA_PSI/SIGMA_CURRENT_VM_RUNTIME_SCOPE_20260826.md	PRESERVED_BEHAVIORAL_RUNTIME_EVIDENCE	MOTHER_TEST_0002 proves caller to callee to RETURN to caller continuation in tested scope with VM RC=0.	Closes RETURN caller-continuation behavior only.	Does not expose argument transfer, frame layout, return-value transport, or restoration mechanism.
J3-EV-006	BRAIN/WORKSTREAMS/SIGMA_PSI/SIGMA_CURRENT_VM_RUNTIME_SCOPE_20260826.md	PRESERVED_BEHAVIORAL_RUNTIME_EVIDENCE	Variables execute in tested programs.	Preserves LOAD/STORE functional existence without rerun.	Does not isolate lookup source, destination, local/global precedence, shadowing, or persistence mechanism.
J3-EV-007	BRAIN/WORKSTREAMS/SIGMA_PSI/SIGMA_CURRENT_VM_RUNTIME_SCOPE_20260826.md	PRESERVED_BEHAVIORAL_RUNTIME_EVIDENCE	IF/ELSE and WHILE behavior executes in tested scope.	Preserves control-flow existence without rerun.	Does not localize numeric JUMP/JUMP_IF_FALSE mappings, target basis, condition consumption, or IP transitions.
J3-EV-008	BRAIN/WORKSTREAMS/SIGMA_PSI/WS12_PRIMARY_MACHINE_EVIDENCE_HARVEST_RESULT.md	SOURCE_CORRELATED_EMISSION_ONLY	0x10 carries a u32 little-endian-shaped name index in selected compiler-output fixtures.	Defines the exact source-correlation boundary for LOAD candidate bytes.	Not native VM runtime mapping or lookup behavior.
J3-EV-009	BRAIN/WORKSTREAMS/SIGMA_PSI/WS12_PRIMARY_MACHINE_EVIDENCE_HARVEST_RESULT.md	SOURCE_CORRELATED_EMISSION_ONLY	0x11 carries a u32 little-endian-shaped name index in selected compiler-output fixtures.	Defines the exact source-correlation boundary for STORE candidate bytes.	Not native VM runtime mapping or destination behavior.
J3-EV-010	BRAIN/WORKSTREAMS/SIGMA_PSI/WS12_PRIMARY_MACHINE_EVIDENCE_HARVEST_RESULT.md	SOURCE_CORRELATED_EMISSION_ONLY	0x30 carries u32 callee-name index plus u16 argument-count field in selected fixtures.	Defines serialized CALL emission shape.	Does not prove runtime count transfer, argument ordering/binding, or frame creation.
J3-EV-011	BRAIN/WORKSTREAMS/SIGMA_PSI/WS12_PRIMARY_MACHINE_EVIDENCE_HARVEST_RESULT.md	SOURCE_CORRELATED_EMISSION_ONLY	0x31 appears at explicit RETURN termination in selected function fixtures.	Defines serialized RETURN correlation.	Does not prove runtime return-value transport, caller restoration, or stack effect.
J3-EV-012	BRAIN/WORKSTREAMS/SIGMA_PSI/WS12_PRIMARY_MACHINE_EVIDENCE_HARVEST_RESULT.md	SOURCE_CORRELATED_EMISSION_ONLY	In STEP3_ITER_TEST, source-correlated 0x40 carries target field 4, numerically matching a compiler-local instruction ordinal in that fixture.	Bounds the observed JUMP candidate target field.	Does not establish absolute/relative interpretation, byte-offset/ordinal basis, bounds, or native IP behavior.
J3-EV-013	BRAIN/WORKSTREAMS/SIGMA_PSI/WS12_PRIMARY_MACHINE_EVIDENCE_HARVEST_RESULT.md	SOURCE_CORRELATED_EMISSION_ONLY	In STEP3_ITER_TEST, source-correlated 0x41 carries target field 17, numerically matching a compiler-local terminal instruction ordinal in that fixture.	Bounds the observed JUMP_IF_FALSE candidate target field.	Does not establish runtime target basis, condition consumption, truth handling, or IP behavior.
J3-EV-014	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_D_VM_RUNTIME_CONTRACT_FREEZE_RESULT_20260826.md	REPOSITORY_VERIFIED_EVIDENCE_BOUNDARY	No exact per-opcode stack transition was directly observed for the ten reviewed source-correlated bytes.	Carries forward STACK_EFFECT=NOT_PROVEN.	Opcode spelling and whole-program success cannot supply pop/push counts.
J3-EV-015	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_D_VM_RUNTIME_CONTRACT_FREEZE_RESULT_20260826.md	PRESERVED_BEHAVIORAL_RUNTIME_EVIDENCE	A current valid run has byte-exact observable stdout correlation and VM RC=0.	Closes observable normal-run output correlation only.	Does not expose top-level result source, terminal stack/register, or RC propagation rule.
J3-EV-016	BRAIN/WORKSTREAMS/SIGMA_PSI/SIGMA_ACTIVE_MINIMAL_CHECKPOINT_AFTER_WINDOW_J2_20260827.md	USER_REPORTED_J2_BOUNDARY	Lowercase null compiled and then produced VM RC=11 with undefined symbol 0 in the tested case.	Reviewed as a bounded undefined-symbol observation.	Not attributed to LOAD because the executing opcode/path was not localized; not generalized to all undefined names.
J3-EV-017	J3 CONNECTED EXECUTION HOST OBSERVATION	ACCESS_BOUNDARY	Repository root has no tracked native directory; releases list is empty; direct clone failed with DNS resolution; exact compiler/VM binary bytes are unavailable.	Forces TARGETED_TESTS_RUN=0 and NEW_CURRENT_RUNTIME_CLAIMS=0.	Does not imply the OPPO/Termux primary binaries are absent.
