FIELD_ID	CATEGORY	QUESTION_OR_EXACT_CASE	PRIOR_EVIDENCE	CURRENT_J4_ACTION	STATUS	EXACT_SCOPE	NOT_PROVEN_BEYOND	PROVENANCE
B01	BOOL_LITERAL_RUNTIME	TRUE direct literal compile and runtime	Document-grounded candidate; comparison output had printed TRUE	No runtime test authorized	ENVIRONMENT_BLOCKED	Required binaries unavailable; no source or bytecode created	Compiler acceptance; VM behavior; output; condition use	J4 opening contract; J3 checkpoint and result
B02	BOOL_LITERAL_RUNTIME	FALSE direct literal compile and runtime	Document-grounded candidate only	No runtime test authorized	ENVIRONMENT_BLOCKED	Required binaries unavailable; no source or bytecode created	Compiler acceptance; VM behavior; output; condition use	J4 opening contract; J3 checkpoint and result
B03	BOOL_LITERAL_RUNTIME	TRUE/FALSE as IF conditions	Comparison conditions exist but literal-condition use was unproven	No runtime test authorized	ENVIRONMENT_BLOCKED	No literal IF fixture executed	Any literal truth behavior	J4 opening contract
B04	BOOL_LITERAL_RUNTIME	Uppercase versus lowercase BOOL spelling	Only TRUE and FALSE were grounded candidates	No ungrounded spelling was tested	OUT_OF_CURRENT_LANGUAGE_SURFACE	Lowercase boolean spellings were outside the authorized grounded candidate set	Whether any lowercase spelling is accepted or distinct	J4 opening contract; WS04
B05	BOOL_LITERAL_RUNTIME	Internal BOOL runtime type	Printed TRUE is not type introspection	No direct type-observation surface established	NOT_PROVEN	No internal BOOL type claim made	Runtime tag; representation; truthiness; conversion	J2 checkpoint; J4 evidence law
N01	LOWERCASE_NULL_RUNTIME	Uppercase NULL exact prior behavior	Compiler accepted; VM executed; printed NULL in tested path	Frozen evidence reused without rerun	EXECUTION_OBSERVED_EXACT_CASE	Exact inherited uppercase NULL case only	Internal NULL representation; universal contexts	J4 opening contract; J2 checkpoint boundary
N02	LOWERCASE_NULL_RUNTIME	Lowercase null exact prior behavior	Compiler accepted; VM RC=11; diagnostic included undefined symbol 0	Frozen evidence reused without rerun	EXECUTION_OBSERVED_EXACT_CASE	Exact inherited lowercase null source only	Universal lowercase mapping; all scopes	J4 opening contract; J2 checkpoint; J3 result
N03	LOWERCASE_NULL_RUNTIME	Lowercase diagnostic classification	Observed diagnostic text included undefined symbol 0	Frozen diagnostic reused without internal inference	EXECUTION_OBSERVED_EXACT_CASE	The exact prior run emitted an undefined-symbol diagnostic naming 0	Internal symbol table; executing opcode; universal symbol treatment	J4 opening contract; J3 result
N04	LOWERCASE_NULL_RUNTIME	Are NULL and null semantically identical?	Prior exact behaviors differ but were not established as a matched control	Matched test not authorized	NOT_PROVEN	Semantic identity was not promoted from unmatched observations	General case sensitivity or NULL representation	J4 evidence law
L01	AND_OR_ACTIVE_RUNTIME	Uppercase AND acceptance	Exact uppercase AND form compiler-rejected	Frozen rejection reused without rerun	COMPILER_REJECTED_EXACT_CASE	Exact tested uppercase AND source context only	Logical family unsupported; other spellings; runtime	J4 opening contract; J2 checkpoint
L02	AND_OR_ACTIVE_RUNTIME	Uppercase OR acceptance	Exact uppercase OR form compiler-rejected	Frozen rejection reused without rerun	COMPILER_REJECTED_EXACT_CASE	Exact tested uppercase OR source context only	Logical family unsupported; other spellings; runtime	J4 opening contract; J2 checkpoint
L03	AND_OR_ACTIVE_RUNTIME	Symbolic && current acceptance and runtime	Frozen WS04 artifact grounds && as an implementation-observation record, not machine semantics	No runtime test authorized	ENVIRONMENT_BLOCKED	Candidate spelling grounded only; current compiler/VM not exercised	Acceptance; operator identity; operand/result rules	WS04_TYPES_VALUES_OPERATORS_RESULT.md
L04	AND_OR_ACTIVE_RUNTIME	Symbolic || current acceptance and runtime	Frozen WS04 artifact grounds || as an implementation-observation record, not machine semantics	No runtime test authorized	ENVIRONMENT_BLOCKED	Candidate spelling grounded only; current compiler/VM not exercised	Acceptance; operator identity; operand/result rules	WS04_TYPES_VALUES_OPERATORS_RESULT.md
L05	AND_OR_ACTIVE_RUNTIME	Any active logical runtime surface	Uppercase forms rejected; symbolic candidates not current-tested	No surface machine-established	NOT_PROVEN	No AND/OR runtime semantics claimed	Accepted spelling; evaluation; result; precedence; errors	J4 evidence law
E01	EVALUATION_ORDER	Left operand before right operand	No order-sensitive runtime marker evidence	No runtime test authorized	ENVIRONMENT_BLOCKED	No exact binary-operand order case executed	General or exact operand order	J4 opening contract
E02	EVALUATION_ORDER	Function argument order	Calls and multi-argument behavior do not expose argument evaluation order	No runtime test authorized	ENVIRONMENT_BLOCKED	No marker-bearing argument-order case executed	Argument evaluation order	J3 result; J4 opening contract
E03	EVALUATION_ORDER	Nested expression order	No order-sensitive nested marker evidence	No runtime test authorized	ENVIRONMENT_BLOCKED	No nested order case executed	Nested evaluation order	J4 opening contract
E04	EVALUATION_ORDER	Call-before-operator behavior	Caller continuation is not expression sequencing	No runtime test authorized	ENVIRONMENT_BLOCKED	No call/operator order case executed	Call and operator sequencing	J3 result; J4 opening contract
