SCOPE	TOTAL	PASS	FAIL	NOT_PROVEN	NOT_APPLICABLE	OUT_OF_CURRENT_LANGUAGE_SURFACE	CONFLICTED	PROVENANCE_STATUS	SOURCE
PUBLIC_SUITE_TOTAL	66	46	0	15	0	2	3	PROVENANCE_COMPLETE_CASES_66_ORPHAN_PASS_0	WINDOW_G
01_SOURCE_SURFACE	9	9	0	0	0	0	0	TRACE_CHECKED	CONFORMANCE_MANIFEST.tsv
02_LITERALS_VALUES	3	1	0	2	0	0	0	TRACE_CHECKED	CONFORMANCE_MANIFEST.tsv
03_OPERATORS	3	1	0	1	0	0	1	TRACE_CHECKED	CONFORMANCE_MANIFEST.tsv
04_CONTROL_FLOW	2	1	0	0	0	0	1	TRACE_CHECKED	CONFORMANCE_MANIFEST.tsv
05_FUNCTIONS	2	1	0	1	0	0	0	TRACE_CHECKED	CONFORMANCE_MANIFEST.tsv
06_STORAGE_INPUT	1	1	0	0	0	0	0	TRACE_CHECKED	CONFORMANCE_MANIFEST.tsv
07_BYTECODE_ABI	2	1	0	1	0	0	0	TRACE_CHECKED	CONFORMANCE_MANIFEST.tsv
08_VM_EXECUTION	3	1	0	2	0	0	0	TRACE_CHECKED	CONFORMANCE_MANIFEST.tsv
09_COMPILER_ERRORS	23	23	0	0	0	0	0	TRACE_CHECKED	CONFORMANCE_MANIFEST.tsv
10_VM_ERRORS	2	0	0	2	0	0	0	TRACE_CHECKED	CONFORMANCE_MANIFEST.tsv
11_BOUNDARY_CASES	8	5	0	1	0	2	0	TRACE_CHECKED	CONFORMANCE_MANIFEST.tsv
12_SEMANTIC_STRUCTURE	7	1	0	5	0	0	1	TRACE_CHECKED	CONFORMANCE_MANIFEST.tsv
13_PROVENANCE_INTEGRITY	1	1	0	0	0	0	0	TRACE_CHECKED	CONFORMANCE_MANIFEST.tsv
