TEST_ID	FIELD	QUESTION	NEW_FIELD_CLOSED	PRIOR_EVIDENCE_INSUFFICIENT_BECAUSE	PRIOR_STATUS	SOURCE_PATH	EXACT_SCOPE	NOT_PROVEN_BEYOND	DUPLICATE_CAPABILITY_TEST	PHASE
J4-B01	BOOL_LITERAL_RUNTIME	TRUE direct literal compile and runtime	TRUE_LITERAL_EXACT_CURRENT_RUNTIME	Only comparison output printed TRUE; direct literal runtime remained unproven.	NOT_PROVEN	02_BOOL_TESTS/J4_BOOL_TRUE_DIRECT.sigma	Direct TRUE binding and print in this exact source.	Internal BOOL type, general truthiness, lowercase spellings.	NO	PHASE1_UNCONDITIONAL
J4-B02	BOOL_LITERAL_RUNTIME	FALSE direct literal compile and runtime	FALSE_LITERAL_EXACT_CURRENT_RUNTIME	FALSE was grounded but direct current literal runtime remained unproven.	NOT_PROVEN	02_BOOL_TESTS/J4_BOOL_FALSE_DIRECT.sigma	Direct FALSE binding and print in this exact source.	Internal BOOL type, general truthiness, lowercase spellings.	NO	PHASE1_UNCONDITIONAL
J4-B03	BOOL_LITERAL_RUNTIME	TRUE as an IF condition	TRUE_LITERAL_IF_CONDITION_EXACT_CASE	Comparison conditions do not establish direct literal condition behavior.	NOT_PROVEN	02_BOOL_TESTS/J4_BOOL_TRUE_IF.sigma	TRUE used directly in one parenthesized IF condition.	Universal IF truth rules or internal BOOL representation.	NO	PHASE1_UNCONDITIONAL
J4-B04	BOOL_LITERAL_RUNTIME	FALSE as an IF condition	FALSE_LITERAL_IF_CONDITION_EXACT_CASE	Comparison conditions do not establish direct literal condition behavior.	NOT_PROVEN	02_BOOL_TESTS/J4_BOOL_FALSE_IF.sigma	FALSE used directly in one parenthesized IF condition.	Universal IF truth rules or internal BOOL representation.	NO	PHASE1_UNCONDITIONAL
J4-N01	LOWERCASE_NULL_RUNTIME	Matched uppercase NULL behavior	NULL_MATCHED_CONTROL_UPPER_EXACT_CASE	Inherited uppercase and lowercase runs were not preserved as one newly matched source pair.	EXECUTION_OBSERVED_EXACT_CASE	03_NULL_TESTS/J4_NULL_UPPER_MATCHED.sigma	Uppercase NULL in the matched print context.	Internal NULL representation or all NULL contexts.	NO	PHASE1_UNCONDITIONAL
J4-N02	LOWERCASE_NULL_RUNTIME	Matched lowercase null behavior	NULL_MATCHED_CONTROL_LOWER_EXACT_CASE	Inherited uppercase and lowercase runs were not preserved as one newly matched source pair.	EXECUTION_OBSERVED_EXACT_CASE	03_NULL_TESTS/J4_NULL_LOWER_MATCHED.sigma	Lowercase null in the matched print context.	Universal lowercase mapping or internal symbol representation.	NO	PHASE1_UNCONDITIONAL
J4-L01	AND_OR_ACTIVE_RUNTIME	Grounded symbolic && acceptance and runtime	AND_ACCEPTED_SURFACE_AND_EXACT_RUNTIME	Uppercase AND rejection does not decide the grounded symbolic candidate.	NOT_PROVEN	04_LOGICAL_TESTS/J4_LOGICAL_AND_SYMBOLIC.sigma	Exact symbolic && expression using grounded comparisons.	General logical family, operand compatibility, precedence, or short-circuit.	NO	PHASE1_UNCONDITIONAL
J4-L02	AND_OR_ACTIVE_RUNTIME	Grounded symbolic || acceptance and runtime	OR_ACCEPTED_SURFACE_AND_EXACT_RUNTIME	Uppercase OR rejection does not decide the grounded symbolic candidate.	NOT_PROVEN	04_LOGICAL_TESTS/J4_LOGICAL_OR_SYMBOLIC.sigma	Exact symbolic || expression using grounded comparisons.	General logical family, operand compatibility, precedence, or short-circuit.	NO	PHASE1_UNCONDITIONAL
J4-E01	EVALUATION_ORDER	Binary operand marker order	BINARY_OPERAND_ORDER_EXACT_CASE	Source order and AST appearance are not runtime evaluation-order evidence.	NOT_PROVEN	05_EVALUATION_ORDER_TESTS/J4_EVAL_BINARY.sigma	One subtraction expression with two source-defined marker calls.	Universal operand order across operators or contexts.	NO	PHASE1_UNCONDITIONAL
J4-E02	EVALUATION_ORDER	Function argument marker order	FUNCTION_ARGUMENT_ORDER_EXACT_CASE	Call existence and argument binding do not prove argument evaluation order.	NOT_PROVEN	05_EVALUATION_ORDER_TESTS/J4_EVAL_ARGUMENTS.sigma	One two-argument call with two source-defined marker calls.	Universal argument order or higher arities.	NO	PHASE1_UNCONDITIONAL
