RECORD_TYPE	ID	SURFACE_OR_DIRECTION	TARGET_OR_CLAIM	STATUS	LOSS_OR_AMBIGUITY	UNCERTAINTY	PROVENANCE	MACHINE_VALIDATED	HUMAN_EXPOSITION_ONLY	RESOLUTION_STATUS
MAPPING	MAP-F-001	SIGMA-Ψ to Vietnamese	Vietnamese human-language bridge	M H	LOSSLESS_NOT_PROVEN; ambiguity must be preserved	UNKNOWN retained where source sense is not fixed	WS07 WS08	NO	YES	HOLD
MAPPING	MAP-F-002	SIGMA-Ψ to English	English human-language bridge	M H	LOSSLESS_NOT_PROVEN; translation accuracy does not prove understanding	UNKNOWN retained where source sense is not fixed	WS07 WS08	NO	YES	HOLD
MAPPING	MAP-F-003	SIGMA-Ψ to GPT reference	GPT supportor reference bridge	M H	Reference mapping is not validation or discovery	UNKNOWN retained; GPT reference cannot impose meaning	WS07 WS08 BlindScope	NO	YES	HOLD
MAPPING	MAP-F-004	human language to SIGMA-Ψ	Human surface mapped toward concept or sense	M H	Reverse mapping is lossy or NOT_PROVEN; MAPPING != IDENTITY	UNKNOWN retained for polysemy and context gaps	WS07 WS08	NO	YES	HOLD
AMBIGUITY	AMB-F-001	exact glyph duplicate and polysemy groups	14 groups covering 53 matrix positions	PRESERVED	SAME_GLYPH != SAME_SEMANTICS; SAME_WORD != SAME_SENSE	per-sense uncertainty required	WS07 inherited WS01 summary	NO	NO	UNRESOLVED_BY_DESIGN
AMBIGUITY	AMB-F-002	flat capsule sense_id[] with top-level payload	per-sense payload assignment	CONFLICTED	Flat multi-sense structure cannot prove which payload belongs to which sense	UNKNOWN until per-sense evidence exists	WS07-CONFLICT-001	NO	NO	RESOLUTION_REQUIRED
AMBIGUITY	AMB-F-003	canonical_name vs sense	label compared with semantic identity	PRESERVED	canonical_name is not sense identity	UNKNOWN for one-to-one name mapping	WS07	NO	YES	HOLD
AMBIGUITY	AMB-F-004	truth false validity glyph family	semantic truth terms versus runtime boolean/literal	CONFLICTED	matrix truth symbols and runtime booleans are not proven identical	UNKNOWN retained	WS08-CONFLICT-002 Window_B	NO	NO	RESOLUTION_REQUIRED
AMBIGUITY	AMB-F-005	blind self-reference output	checkpoint or self-referential content	PRESERVED	Output may show checkpoint reference, not self-awareness	Cognition remains NOT_PROVEN	BlindScope	NO	NO	HOLD
CONFLICT	CONFLICT-F-001	WS07 flat multi-sense payload	field structure versus per-sense semantics	CONFLICTED	payload scope not resolved	UNKNOWN	WS07-CONFLICT-001	NO	NO	RESOLUTION_REQUIRED
CONFLICT	CONFLICT-F-002	WS07 status scope	status labels versus evidence level	CONFLICTED	V D R X P C M H require scoped interpretation	UNKNOWN where source lacks scope	WS07-CONFLICT-002 WS08	NO	NO	RESOLUTION_REQUIRED
CONFLICT	CONFLICT-F-003	WS07 inherited WS01 semantic conflicts	18 retained matrix or cross-layer conflicts	CONFLICTED	Do not collapse glyph or layer conflicts	UNKNOWN per conflict until resolved	WS07 inherited WS01 summary	NO	NO	RESOLUTION_REQUIRED
CONFLICT	CONFLICT-F-004	self-acceleration language versus finite governance	governance normalization	CONFLICTED	Historical expansiveness conflicts with evidence-bound finite-resource governance	UNKNOWN for runtime policy enforcement	WS08-CONFLICT-001	NO	YES	RESOLUTION_REQUIRED
CONFLICT	CONFLICT-F-005	true false validity ambiguity	truth vocabulary versus machine booleans	CONFLICTED	Truth as constitutional value is not runtime boolean proof	UNKNOWN	WS08-CONFLICT-002 Window_B	NO	NO	RESOLUTION_REQUIRED
CONFLICT	CONFLICT-F-006	provenance hash variance	upstream provenance records	CONFLICTED	Do not silently overwrite provenance variants	UNKNOWN until reconciled	WS08-CONFLICT-003	NO	NO	RESOLUTION_REQUIRED
